Sintoma;Alerta
vomito;Posible problema digestivo o enfermedad gastrointestinal.
vomito amarillo;Podria indicar problemas hepaticos o biliares, se recomienda revision veterinaria.
vomito blanco;Posible gastritis o exceso de comida, observar comportamiento y consultar veterinario.
vomito espuma;Indica posible irritacion estomacal, debe revisarse si persiste.
no come;Posible malestar general o enfermedad, vigilar apetito y peso.
tose;Podria indicar problemas respiratorios o infecciones.
cansancio;Nivel de energia bajo, podria ser signo de enfermedad.
diarrea;Problema digestivo, mantener hidratacion y vigilar dieta.
cojera;Posible problema muscular o articular, revisar movilidad.
comezon;Posible alergia, parasitos o irritacion de piel.
caida de pelo;Posible deficiencia nutricional o problemas de piel.
ojos llorosos;Podria ser infeccion ocular o irritacion.
perdida de peso;Podria indicar enfermedad cronica, consultar veterinario.
dificultad para respirar;Emergencia: buscar atencion veterinaria inmediata.
estornuda;Posible resfriado o infeccion respiratoria leve.
hinchazon abdomen;Posible indigestion o problema grave, observar y consultar veterinario.
